FECHA,PRECIO_PREDICTO,PRODUCTO
2025-05-21,91.21291527852189,Cebolla Cabezona Blanca
2025-05-21,37.8745041287011,Plátano Hartón Verde Llanero Gr
2025-05-21,14.37480243241305,Huevos AA
2025-05-21,19.35162860341057,Pimentón
2025-05-21,40.32116654964754,Banano Urabá
2025-05-21,15.359726483726826,Tomate Cherri
2025-05-21,66.18372645852804,Feijoba
2025-05-21,28.914977339463395,Perejil
2025-05-21,40.654323778101855,Mango Común
2025-05-21,80.1406530832592,Tomate De Arbol Amarillo
2025-05-21,228.00930583846355,Frijol Verde
2025-05-21,11.076654728626188,Aguacate papelillo
2025-05-21,41.13896145554047,Cilantro
2025-05-21,14.257250418748836,Huevos Aaa
2025-05-21,104.5888513800925,Remolacha
2025-05-21,299.55249495299347,Arveja Verde En Vaina
2025-05-21,46.209212109355974,Naranja Tanjelo
2025-05-21,127.9095737067195,Habichuela
2025-05-21,49.95806034737154,Mango Azucar
2025-05-22,50.139390574640295,Naranja Comun
2025-05-22,2.340412308669307,Sandia Baby
2025-05-22,19.599069683319172,Pimentón
2025-05-22,107.94935362513606,Tomate Chonto
2025-05-22,34.54202430910188,Plátano Hartón Verde Llanero Pa
2025-05-22,88.04911440717966,Panela
2025-05-22,91.90623806075024,Cebolla Cabezona Blanca
2025-05-22,77.77979813746566,Zanahoria
2025-05-22,21.633335507550164,Pepino Cohombro
2025-05-22,79.51691504305101,Tomate De Arbol Amarillo
2025-05-22,1.7704381856418159,Uchuva
2025-05-22,79.63132475347618,Naranja Valencia
2025-05-22,132.84544137885877,Manzana Gloria
2025-05-22,85.20164764900593,Manzana Nacional
2025-05-22,2.7354824159614397,Piña Gold
2025-05-22,28.41663548505713,Perejil
2025-05-22,5.31938359257268,Guanabana
2025-05-22,101.32941114883675,Papa Criolla Limpia
2025-05-22,11.057347991016558,Aguacate papelillo
2025-05-22,16.99206798590812,Espinaca
2025-05-22,49.98137829116301,Yuca Llanera
2025-05-22,293.64607905989556,Arveja Verde En Vaina
2025-05-22,15.376985561661046,Tomate Cherri
2025-05-22,46.03900349046359,Uva Isabelita
2025-05-22,48.31486410299277,Mango Azucar
2025-05-22,40.64499220110651,Banano Urabá
2025-05-22,62.43945751068867,Mango Tommy
2025-05-22,4.212221002934151,Mora De Castilla
2025-05-22,27.543746520716905,Limon Tahití
2025-05-22,128.52934789026736,Arracacha Amarilla
